номер сеанса;Название организации;Объект испытаний 1;Объект испытаний 2;Объект испытаний 3;Объект испытаний 4;Код среды (Ион);Среднее по трековым детекторам;ТД1;ТД2;ТД3;ТД4;ТД5;ТД6;ТД7;ТД8;ТД9;Среднее по on-line детекторам;ОД1;ОД2;ОД3;ОД4;Интенсивность потока в сеансе;Номер протокола допуска;Угол облучения;Давление на испытательном комплексе;Влажность на испытательном комплексе, %;Температура на испытательном комплексе;Температура в сеансе;неоднородность, %;К;±;Неоднородность по левой стороне;Неоднородность по правой стороне
-;Переход;;;;;;;;;;;;;;;;;;;;;;;-;746;48;22;-;-;-;-;;
1;ПН(Переход);;;;;КсВак--;1,05E+07;1,00E+07;1,10E+07;1,00E+07;9,80E+06;1,10E+07;1,10E+07;1,10E+07;1,10E+07;1,00E+07;1,01E+07;1,01E+07;1,07E+07;9,41E+06;1,03E+07;2,00E+04;02.01.2001;-;746;48;24;-;19.91;1,03;0,31;;
2;ПН(Переход);;;;;КсВак--;1,08E+07;1,10E+07;1,20E+07;1,00E+07;1,00E+07;1,10E+07;1,00E+07;1,10E+07;1,10E+07;1,10E+07;1,01E+07;1,03E+07;1,08E+07;9,28E+06;9,28E+06;5,00E+04;02.01.2002;-;746;48;24;-;16,67;1,07;0,33;;
3;ПН(Переход);;;;;КсВак--;5,26E+06;5,40E+06;5,10E+06;5,20E+06;5,30E+06;4,90E+06;5,00E+06;5,50E+06;5,50E+06;5,40E+06;5,05E+06;5,21E+06;5,46E+06;4,63E+06;4,90E+06;1,00E+04;02.01.2003;-;746;48;24;-;10,91;1,04;0,31;;
4;ПН(Переход);;;;;КсВак--;5,31E+05;5,20E+05;4,90E+05;5,10E+05;5,50E+05;5,50E+05;5,40E+05;5,50E+05;5,50E+05;5,20E+05;5,04E+05;5,16E+05;5,43E+05;4,64E+05;4,93E+05;1,00E+03;02.01.2004;-;746;48;24;-;10,91;1,05;0,31;;
5;СПЭЛС;20125010002;;;;КсВак--;2,10E+05;2,20E+05;2,00E+05;;;;;;;;2,11E+05;2,15E+05;2,27E+05;1,94E+05;2,06E+05;5,00E+02;02.01.2001;0;746;48;24;25;9,09;1;0,35;;
6;СПЭЛС;20125010007;;;;КсВак--;5,05E+05;5,10E+05;5,00E+05;;;;;;;;5,21E+05;5,25E+05;5,61E+05;4,78E+05;5,20E+05;5,00E+03;02.01.2001;0;746;50;24;25;1,96;0,97;0,27;;
7;СПЭЛС;20125010008;;;;КсВак--;3,15E+06;3,30E+06;3,00E+06;;;;;;;;3,04E+06;3,09E+06;3,26E+06;3,26E+06;3,01E+06;1,00E+04;02.01.2001;0;746;50;24;40;9,09;1,04;0,36;;
8;СПЭЛС;20125010008;20125010008;;;КсВак--;3,10E+06;3,00E+06;3,20E+06;;;;;;;;3,02E+06;3,10E+06;3,23E+06;2,78E+06;2,96E+06;1,00E+04;02.01.2001;0;746;50;24;40;6,25;1,03;0,32;;
9;СПЭЛС;20125010009;;;;КсВак--;3,70E+06;3,70E+06;3,70E+06;;;;;;;;3,64E+06;3,78E+06;3,91E+06;3,36E+06;3,53E+06;1,00E+04;02.01.2001;0;746;50;24;40;0;1,02;0,28;;
10;СПЭЛС;20125010009;20125010009;;;КсВак--;3,20E+06;3,20E+06;3,20E+06;;;;;;;;3,13E+06;3,28E+06;3,36E+06;2,88E+06;3,00E+06;1,00E+04;02.01.2001;0;746;50;24;40;0;1,02;0,29;;
11;СПЭЛС;20125010004;;;;КсВак--;6,70E+05;7,20E+05;6,20E+05;;;;;;;;6,28E+05;6,65E+05;6,74E+05;5,78E+05;5,97E+05;2,00E+04;02.01.2001;0;746;50;24;25;13,89;1,07;0,45;;
12;СПЭЛС;20125010005;20125010005;;;КсВак--;1,35E+06;1,30E+06;1,40E+06;;;;;;;;1,31E+06;1,40E+06;1,40E+06;1,21E+06;1,24E+06;5,00E+03;02.01.2001;0;746;50;24;25;7,14;1,03;0,33;;
13;СПЭЛС;20125010010;;;;КсВак--;3,65E+06;3,70E+06;3,60E+06;;;;;;;;3,53E+06;3,75E+06;3,72E+06;3,27E+06;3,37E+06;1,00E+04;02.01.2001;0;746;50;24;40;2,7;1,03;0,3;;
14;СПЭЛС;20125010010;20125010010;;;КсВак--;3,35E+06;3,40E+06;3,30E+06;;;;;;;;3,22E+06;3,44E+06;3,40E+06;2,97E+06;3,05E+06;1,00E+04;02.01.2001;0;746;50;24;40;2,94;1,04;0,3;;
15;СПЭЛС;20125010003;;;;КсВак--;3,20E+06;3,20E+06;3,20E+06;;;;;;;;3,03E+06;3,28E+06;3,20E+06;2,80E+06;2,84E+06;1,00E+04;02.01.2001;0;746;50;24;40;0;1,06;0,3;;
16;СПЭЛС;20125010003;20125010003;;;КсВак--;3,10E+06;3,00E+06;3,20E+06;;;;;;;;3,01E+06;3,27E+06;3,18E+06;2,77E+06;2,81E+06;1,00E+04;02.01.2001;0;746;50;24;40;6,25;1,03;0,32;;
