номер сеанса;Название организации;Тип иона;начало сеанса;конец сеанса;Продолжительность облучения;продолжительность сеанса;Время с учетом ТП (чистое);Начало ТП;конец ТП;Время ТП в сеансе;
-;Переход;Xe;31.03.2022 9:00;31.03.2022 15:30;;6:30:00;6:30:00;;;0:00:00;
1;ПН(Переход);Xe;31.03.2022 15:30;31.03.2022 17:00;0:09:08;1:30:00;1:30:00;;;0:00:00;
2;ПН(Переход);Xe;31.03.2022 17:00;31.03.2022 17:25;0:03:37;0:25:00;0:25:00;;;0:00:00;
3;ПН(Переход);Xe;31.03.2022 17:25;31.03.2022 17:40;0:12:29;0:15:00;0:15:00;;;0:00:00;
4;ПН(Переход);Xe;31.03.2022 17:40;31.03.2022 19:05;0:09:07;1:25:00;1:25:00;;;0:00:00;
5;СПЭЛС;Xe;31.03.2022 19:05;31.03.2022 20:04;0:08:22;0:59:00;0:59:00;;;0:00:00;
6;СПЭЛС;Xe;31.03.2022 20:04;31.03.2022 20:39;0:03:39;0:35:17;0:35:17;;;0:00:00;
7;СПЭЛС;Xe;31.03.2022 20:39;31.03.2022 21:38;0:28:05;0:59:00;0:59:00;;;0:00:00;
8;СПЭЛС;Xe;31.03.2022 21:38;31.03.2022 22:17;0:09:00;0:39:29;0:39:29;;;0:00:00;
9;СПЭЛС;Xe;31.03.2022 22:17;31.03.2022 22:57;0:19:51;0:39:45;0:39:45;;;0:00:00;
10;СПЭЛС;Xe;31.03.2022 22:57;31.03.2022 23:37;0:07:42;0:40:18;0:40:18;;;0:00:00;
11;СПЭЛС;Xe;31.03.2022 23:37;01.04.2022 0:18;0:09:38;0:40:42;0:40:42;;;0:00:00;
12;СПЭЛС;Xe;01.04.2022 0:18;01.04.2022 0:55;0:10:27;0:36:29;0:36:29;;;0:00:00;
13;СПЭЛС;Xe;01.04.2022 0:55;01.04.2022 1:45;0:17:44;0:50:00;0:50:00;;;0:00:00;
14;СПЭЛС;Xe;01.04.2022 1:45;01.04.2022 2:21;0:07:20;0:36:00;0:36:00;;;0:00:00;
15;СПЭЛС;Xe;01.04.2022 2:21;01.04.2022 3:07;0:19:29;0:46:00;0:46:00;;;0:00:00;
16;СПЭЛС;Xe;01.04.2022 3:07;01.04.2022 3:48;0:07:08;0:41:10;0:41:10;;;0:00:00;
17;СПЭЛС;Xe;01.04.2022 3:48;01.04.2022 4:39;0:19:19;0:50:50;0:50:50;;;0:00:00;
18;СПЭЛС;Xe;01.04.2022 4:39;01.04.2022 5:26;0:27:54;0:47:00;0:47:00;;;0:00:00;
19;СПЭЛС;Xe;01.04.2022 5:26;01.04.2022 6:19;0:04:51;0:53:00;0:53:00;;;0:00:00;
20;СПЭЛС;Xe;01.04.2022 6:19;01.04.2022 7:18;0:18:43;0:59:00;0:59:00;;;0:00:00;
21;СПЭЛС;Xe;01.04.2022 7:18;01.04.2022 8:00;0:08:07;0:42:18;0:42:18;;;0:00:00;
